sep=;
"Time";"measurement.Radon";"measurement.Pressure"
"2019-11-13T01:50:00+00:00";14.801499999999999;null
"2019-11-13T02:00:00+00:00";15.831999999999997;null
"2019-11-13T02:10:00+00:00";16.862499999999994;101.0829
"2019-11-13T02:20:00+00:00";18.004499999999993;101.05465
"2019-11-13T02:30:00+00:00";19.58449999999999;101.02492499999998
"2019-11-13T02:40:00+00:00";20.929499999999994;100.99812499999999
"2019-11-13T02:50:00+00:00";22.274499999999996;100.98099999999997
"2019-11-13T03:00:00+00:00";23.411499999999997;100.96799999999998
"2019-11-13T03:10:00+00:00";24.548499999999997;100.94454999999996
"2019-11-13T03:20:00+00:00";24.752499999999994;100.94202499999997
"2019-11-13T03:30:00+00:00";24.956499999999995;100.93959999999996
"2019-11-13T03:40:00+00:00";25.363499999999995;100.93889999999996
"2019-11-13T03:50:00+00:00";25.455999999999996;100.93744999999996
"2019-11-13T04:00:00+00:00";25.017999999999994;100.93707499999996
"2019-11-13T04:10:00+00:00";24.931999999999995;100.93609999999997
"2019-11-13T04:20:00+00:00";24.987499999999994;100.93589999999998
"2019-11-13T04:30:00+00:00";25.270499999999995;100.93637499999997
"2019-11-13T04:40:00+00:00";25.797749999999997;100.93719999999998
"2019-11-13T04:50:00+00:00";26.769;100.93969999999997
"2019-11-13T05:00:00+00:00";27.6755;100.94199999999998
"2019-11-13T05:10:00+00:00";28.674500000000002;100.94382499999998
"2019-11-13T05:20:00+00:00";29.784499999999998;100.94947499999998
"2019-11-13T05:30:00+00:00";31.227999999999998;100.95332499999998
"2019-11-13T05:40:00+00:00";32.559999999999995;100.97732499999998
"2019-11-13T05:50:00+00:00";33.546499999999995;100.98679999999997
"2019-11-13T06:00:00+00:00";34.98449999999999;101.00584999999998
"2019-11-13T06:10:00+00:00";36.10849999999999;101.03147499999997
"2019-11-13T06:20:00+00:00";37.03299999999999;101.06147499999997
"2019-11-13T06:30:00+00:00";37.532499999999985;101.09192499999997
"2019-11-13T06:40:00+00:00";38.031999999999975;101.12239999999997
"2019-11-13T06:50:00+00:00";38.32749999999997;101.15767499999997
"2019-11-13T07:00:00+00:00";38.53549999999997;101.19937499999997
"2019-11-13T07:10:00+00:00";38.650999999999975;101.24227499999998
"2019-11-13T07:20:00+00:00";38.650999999999975;101.27039999999997
"2019-11-13T07:30:00+00:00";38.305499999999974;101.27804999999998
"2019-11-13T07:40:00+00:00";37.81849999999997;101.28642499999998
"2019-11-13T07:50:00+00:00";37.247749999999975;101.29489999999997
"2019-11-13T08:00:00+00:00";36.67674999999998;101.30392499999996
"2019-11-13T08:10:00+00:00";36.21449999999997;101.31384999999997
"2019-11-13T08:20:00+00:00";36.23349999999998;101.32457499999997
"2019-11-13T08:30:00+00:00";36.56699999999997;101.33669999999998
"2019-11-13T08:40:00+00:00";36.696999999999974;101.34624999999997
"2019-11-13T08:50:00+00:00";36.36349999999997;101.35969999999998
"2019-11-13T09:00:00+00:00";35.75249999999997;101.35357499999996
"2019-11-13T09:10:00+00:00";35.122999999999976;101.36379999999997
"2019-11-13T09:20:00+00:00";34.27199999999998;101.36549999999997
"2019-11-13T09:30:00+00:00";33.54999999999997;101.36004999999997
"2019-11-13T09:40:00+00:00";33.23549999999997;101.35037499999996
"2019-11-13T09:50:00+00:00";33.734499999999976;101.33957499999997
"2019-11-13T10:00:00+00:00";34.15949999999997;101.32864999999997
"2019-11-13T10:10:00+00:00";34.36349999999997;101.31369999999997
"2019-11-13T10:20:00+00:00";34.654999999999966;101.29152499999998
"2019-11-13T10:30:00+00:00";34.946499999999965;101.26999999999998
"2019-11-13T10:40:00+00:00";35.74149999999996;101.26262499999999
"2019-11-13T10:50:00+00:00";36.258999999999965;101.27647499999998
"2019-11-13T11:00:00+00:00";36.97074999999997;101.28949999999998
"2019-11-13T11:10:00+00:00";38.03199999999996;101.30074999999998
"2019-11-13T11:20:00+00:00";38.954749999999954;101.31244999999998
"2019-11-13T11:30:00+00:00";39.481749999999955;101.32379999999999
"2019-11-13T11:40:00+00:00";39.527499999999954;101.334925
"2019-11-13T11:50:00+00:00";39.406999999999954;101.34532499999999
"2019-11-13T12:00:00+00:00";39.453249999999954;101.35515
"2019-11-13T12:10:00+00:00";39.51824999999996;101.36342499999999
"2019-11-13T12:20:00+00:00";39.90699999999996;101.371025
"2019-11-13T12:30:00+00:00";40.536499999999954;101.3771
"2019-11-13T12:40:00+00:00";40.962499999999956;101.3826
"2019-11-13T12:50:00+00:00";41.07349999999995;101.387325
"2019-11-13T13:00:00+00:00";40.67149999999996;101.391175
"2019-11-13T13:10:00+00:00";39.67299999999996;101.395575
"2019-11-13T13:20:00+00:00";38.544499999999964;101.399925
"2019-11-13T13:30:00+00:00";37.72999999999997;101.40344999999999
"2019-11-13T13:40:00+00:00";37.02649999999997;101.40707499999999
"2019-11-13T13:50:00+00:00";36.41549999999997;101.409475
"2019-11-13T14:00:00+00:00";35.50899999999997;101.4122
"2019-11-13T14:10:00+00:00";34.69499999999998;101.41375000000001
"2019-11-13T14:20:00+00:00";33.63124999999998;101.415825
"2019-11-13T14:30:00+00:00";32.05874999999998;101.4185
"2019-11-13T14:40:00+00:00";30.42149999999998;101.41979999999998
"2019-11-13T14:50:00+00:00";28.932249999999982;101.41992499999999
"2019-11-13T15:00:00+00:00";27.359999999999985;101.4206
"2019-11-13T15:10:00+00:00";25.482499999999984;101.420425
"2019-11-13T15:20:00+00:00";23.382749999999984;101.41917499999998
"2019-11-13T15:30:00+00:00";21.449749999999987;101.41794999999999
